gene	n_primary	n_recurrent	n_either	recurrent_only
PRSS1	9	11	12	3
PRSS2	8	10	11	3
MTCH2	5	9	13	8
MUC6	8	9	9	1
LILRA2	7	9	9	2
LILRB1	8	9	9	1
ZDHHC11	5	7	8	3
KRTAP29-1	7	7	7	0
OR2J1	7	6	7	0
NF1	5	6	7	2
HCG22	6	6	7	1
DNAJC28	5	6	7	2
LGALS9C	4	6	6	2
ANAPC1	5	5	8	3
OR2T35	4	5	6	2
ANKRD36C	3	5	6	3
TRPM1	3	5	5	2
TAS2R31	4	5	5	1
SLC9B1P4	3	4	7	4
PTEN	5	4	6	1
SLC9B1	5	4	6	1
KRTAP4-8	6	4	6	0
CLPS	1	4	5	4
OVOS2	4	4	5	1
ADPRHL1	2	4	5	3
PRKRA	2	4	4	2
IGHV2-5	1	4	4	3
PABPC3	7	3	9	2
TMEM145	1	3	4	3
CCL4L2	3	3	4	1
CCHCR1	3	3	4	1
HLA-DRA	4	3	4	0
PSPH	2	3	3	1
SETD2	3	3	3	0
ZNF638	2	3	3	1
CNOT1	1	3	3	2
CHD6	0	3	3	3
C6orf10	2	3	3	1
IFI27	0	3	3	3
PRDM15	3	3	3	0
CDC27	5	2	6	1
IFT81	3	2	4	1
ABCC1	3	2	4	1
RB1	4	2	4	0
CFTR	1	2	3	2
AP1M1	2	2	3	1
SYCP2L	1	2	3	2
TBC1D22A	2	2	3	1
MICA	2	2	3	1
CAPN11	1	2	3	2
NEB	1	2	3	2
CYP2D6	2	2	3	1
DNAH2	1	2	3	2
TAS2R46	3	2	3	0
L3MBTL4	0	2	2	2
ATP6V1E1	0	2	2	2
COL12A1	0	2	2	2
ARID2	1	2	2	1
RPL5	0	2	2	2
PRMT5	1	2	2	1
BRD7	0	2	2	2
ATL3	0	2	2	2
USP24	0	2	2	2
SULT1C3	0	2	2	2
SLC34A2	0	2	2	2
MMS22L	0	2	2	2
SEC16A	1	2	2	1
FAT3	0	2	2	2
MFGE8	0	2	2	2
CCDC144CP	0	2	2	2
ACACA	0	2	2	2
UTP18	0	2	2	2
TEX14	0	2	2	2
BRIP1	1	2	2	1
ZNF541	0	2	2	2
SYCP2	1	2	2	1
SMARCA1	0	2	2	2
AFF1	1	2	2	1
AKAP6	0	2	2	2
ACE	0	2	2	2
PRAMEF4	0	2	2	2
CSMD2	0	2	2	2
MBD5	0	2	2	2
ACOX3	0	2	2	2
KIAA1109	0	2	2	2
MOG	2	2	2	0
CEP85L	1	2	2	1
MAP3K5	0	2	2	2
STK31	0	2	2	2
MALRD1	0	2	2	2
SPTBN2	1	2	2	1
VEZT	0	2	2	2
NEO1	0	2	2	2
ORMDL3	0	2	2	2
RYR1	0	2	2	2
HSPG2	0	2	2	2
BLZF1	0	2	2	2
OR2T4	1	2	2	1
PRPF40B	0	2	2	2
CDC25B	0	2	2	2
KIAA1324L	0	2	2	2
KRTAP4-7	1	2	2	1
TCP10	0	2	2	2
MUC3A	1	2	2	1
ZNF7	0	2	2	2
NDRG4	0	2	2	2
MAST3	0	2	2	2
NRK	0	2	2	2
HLA-DPB1	2	2	2	0
RNH1	2	2	2	0
PSMD2	0	2	2	2
GOLIM4	0	2	2	2
CRIPAK	1	2	2	1
SYNJ2	0	2	2	2
MINK1	0	2	2	2
ITCH	0	2	2	2
DSP	0	2	2	2
DLC1	1	2	2	1
GLOD4	4	1	5	1
RP11-154J22.1	4	1	4	0
SKA3	3	1	3	0
AGAP3	3	1	3	0
SIRPB1	2	1	3	1
HOXB7	2	1	3	1
POLR2F	1	1	2	1
MUC12	1	1	2	1
B4GALNT1	1	1	2	1
HECTD4	1	1	2	1
TP53	1	1	2	1
SPATA21	1	1	2	1
AC016577.1	1	1	2	1
EP400	1	1	2	1
PRSS3	1	1	2	1
WIPI1	1	1	2	1
SMARCA4	1	1	2	1
SPOCD1	1	1	2	1
CACNA1D	1	1	2	1
OPA1	1	1	2	1
SLC8A3	1	1	2	1
ARPP19	1	1	2	1
C18orf25	1	1	2	1
PDZD4	2	1	2	0
TLL1	1	1	2	1
KIF15	1	1	2	1
ADAMTS14	1	1	2	1
MUC5B	1	1	2	1
DIABLO	1	1	2	1
SCAPER	1	1	2	1
MTOR	1	1	2	1
SEMA4C	1	1	2	1
NSMCE1	1	1	2	1
MYH1	1	1	2	1
TTN	1	1	2	1
PLEKHA5	1	1	2	1
ZNF93	1	1	2	1
DNAH14	1	1	2	1
FMNL2	1	1	2	1
NEK2	1	1	2	1
DNAH8	1	1	2	1
NCOR1	1	1	2	1
SVIL	1	1	2	1
IQGAP2	1	1	2	1
ADGRF1	1	1	2	1
PIBF1	1	1	2	1
CNDP1	2	1	2	0
SZT2	1	1	2	1
LAPTM4B	1	1	2	1
AGBL2	1	1	2	1
IQCE	1	1	2	1
SSPO	1	1	2	1
FOCAD	1	1	2	1
CC2D2B	1	1	2	1
SYNE2	1	1	2	1
FOXO3	1	1	2	1
TPTE2	2	1	2	0
HLA-DRB1	2	1	2	0
VCAM1	0	1	1	1
HMCN1	0	1	1	1
ITGA4	1	1	1	0
TNFAIP3	1	1	1	0
BRAT1	1	1	1	0
ABCB4	0	1	1	1
MICAL2	0	1	1	1
ZC3H12C	0	1	1	1
UPK2	0	1	1	1
TCHP	1	1	1	0
EIF5	0	1	1	1
SLC38A5	1	1	1	0
YOD1	0	1	1	1
KALRN	0	1	1	1
GVQW1	0	1	1	1
NOL6	0	1	1	1
TPH2	1	1	1	0
MEIS2	1	1	1	0
SNX22	0	1	1	1
NDUFV2	0	1	1	1
MAP4K1	0	1	1	1
SLC23A2	1	1	1	0
COL6A1	0	1	1	1
ACRC	0	1	1	1
HEYL	0	1	1	1
DGKD	0	1	1	1
SLC25A46	0	1	1	1
RARS2	0	1	1	1
TMEM248	0	1	1	1
TRIM5	0	1	1	1
OR10G4	0	1	1	1
DSC2	0	1	1	1
ARAF	0	1	1	1
SLU7	0	1	1	1
SGK1	0	1	1	1
DGKB	0	1	1	1
PHYHD1	0	1	1	1
GJD4	0	1	1	1
TLL2	1	1	1	0
STARD10	0	1	1	1
SMARCD1	0	1	1	1
PTPRB	1	1	1	0
TTC6	1	1	1	0
RAB26	0	1	1	1
MON1B	0	1	1	1
SUZ12	0	1	1	1
RPTOR	1	1	1	0
MTCL1	1	1	1	0
ZNF266	0	1	1	1
PLXNB2	0	1	1	1
CCNB3	0	1	1	1
MED12	0	1	1	1
FAM127B	0	1	1	1
EPHA10	0	1	1	1
S100A3	0	1	1	1
ZNF496	1	1	1	0
IL18R1	0	1	1	1
CAPN7	0	1	1	1
SH2B2	0	1	1	1
AGO2	1	1	1	0
CDK5RAP2	0	1	1	1
PTPA	0	1	1	1
PGGHG	0	1	1	1
ZNF214	1	1	1	0
DPP3	0	1	1	1
CD3E	1	1	1	0
ESAM	0	1	1	1
CPSF3L	1	1	1	0
RSBN1	0	1	1	1
NOTCH2	0	1	1	1
ARNT	1	1	1	0
MSH6	0	1	1	1
MDH1	0	1	1	1
MEIS1	0	1	1	1
LYG2	0	1	1	1
RFX8	0	1	1	1
R3HDM1	0	1	1	1
NDUFS1	0	1	1	1
C2orf83	0	1	1	1
PID1	1	1	1	0
SAG	0	1	1	1
GALNT15	0	1	1	1
CACNA2D3	0	1	1	1
DPPA2	0	1	1	1
PHC3	1	1	1	0
YEATS2	0	1	1	1
NELFA	0	1	1	1
TRIP13	0	1	1	1
SLC23A1	0	1	1	1
NHP2	0	1	1	1
MUT	0	1	1	1
SMPD2	0	1	1	1
SERINC1	0	1	1	1
GRIFIN	0	1	1	1
ETV1	0	1	1	1
NUDCD3	0	1	1	1
ZNF117	0	1	1	1
ZAN	0	1	1	1
NRCAM	0	1	1	1
KCP	0	1	1	1
KCTD9	0	1	1	1
MCM4	0	1	1	1
NSMAF	0	1	1	1
GGH	0	1	1	1
ZHX1	0	1	1	1
ATAD2	0	1	1	1
OPLAH	0	1	1	1
HSPA5	0	1	1	1
AKR1C1	0	1	1	1
CCAR1	0	1	1	1
ANXA11	1	1	1	0
PLCE1	0	1	1	1
OR4S2	1	1	1	0
OR5D16	1	1	1	0
CTNND1	0	1	1	1
MTMR2	0	1	1	1
GUCY1A2	0	1	1	1
RNF214	0	1	1	1
TMPRSS4	0	1	1	1
SORL1	0	1	1	1
SCN8A	0	1	1	1
RARG	0	1	1	1
ESPL1	0	1	1	1
ESYT1	0	1	1	1
SLC39A5	0	1	1	1
CTDSP2	0	1	1	1
LIN7A	0	1	1	1
ISCU	0	1	1	1
SLC8B1	0	1	1	1
RNF17	0	1	1	1
SLC7A1	0	1	1	1
DOCK9	0	1	1	1
MYH6	0	1	1	1
L2HGDH	0	1	1	1
TXNDC16	0	1	1	1
DACT1	0	1	1	1
GOLGA6L2	1	1	1	0
SPTBN5	0	1	1	1
SPG11	0	1	1	1
TPSD1	0	1	1	1
PDPK1	0	1	1	1
NPIPB4	0	1	1	1
RP11-1094M14.12	0	1	1	1
SYNRG	0	1	1	1
SKAP1	0	1	1	1
CACNA1G	0	1	1	1
AKAP1	0	1	1	1
PRKCA	0	1	1	1
MIB1	0	1	1	1
C18orf8	0	1	1	1
ZNF564	0	1	1	1
SPTBN4	0	1	1	1
PLCB4	0	1	1	1
EFCAB8	0	1	1	1
ZNF831	0	1	1	1
CH507-9B2.1	0	1	1	1
MX1	0	1	1	1
CECR1	0	1	1	1
RSPH14	0	1	1	1
IL1RAPL1	0	1	1	1
SLC25A5	1	1	1	0
AIFM1	0	1	1	1
STK26	0	1	1	1
GPR153	0	1	1	1
EIF3I	0	1	1	1
TPO	1	1	1	0
PLEKHB2	0	1	1	1
TUBB2B	1	1	1	0
SYNE1	0	1	1	1
MRPS17	1	1	1	0
ASAH1	0	1	1	1
PTGES2	0	1	1	1
COL5A1	1	1	1	0
SPTY2D1	0	1	1	1
ARNTL2	0	1	1	1
AC004381.6	1	1	1	0
KCNG1	1	1	1	0
KB-67B5.12	1	1	1	0
DRG1	1	1	1	0
CFHR1	1	1	1	0
SPTAN1	0	1	1	1
PLPP4	0	1	1	1
SLCO1B1	0	1	1	1
CYP11A1	0	1	1	1
ACLY	0	1	1	1
EHD2	0	1	1	1
MMEL1	0	1	1	1
RASGEF1C	1	1	1	0
TAAR8	0	1	1	1
DYNC1I1	1	1	1	0
KEL	0	1	1	1
NPAT	1	1	1	0
CCDC88C	1	1	1	0
ZNF283	0	1	1	1
UBE2J2	0	1	1	1
NPHP4	0	1	1	1
PEX14	0	1	1	1
PRAMEF11	0	1	1	1
UBR4	0	1	1	1
AKR7A3	0	1	1	1
MINOS1	0	1	1	1
EIF4G3	0	1	1	1
RUNX3	0	1	1	1
AHDC1	1	1	1	0
RPA2	0	1	1	1
SRSF4	0	1	1	1
RBBP4	0	1	1	1
AGO3	0	1	1	1
UROD	0	1	1	1
HOOK1	0	1	1	1
DOCK7	0	1	1	1
CHI3L2	0	1	1	1
VTCN1	0	1	1	1
SEC22B	0	1	1	1
ITGA10	0	1	1	1
TXNIP	0	1	1	1
PLEKHO1	0	1	1	1
POGZ	0	1	1	1
EFNA4	0	1	1	1
INSRR	0	1	1	1
SPTA1	0	1	1	1
CCDC190	0	1	1	1
CENPL	0	1	1	1
SMG7	0	1	1	1
KIF21B	0	1	1	1
PLXNA2	0	1	1	1
TRAF5	0	1	1	1
ZC3H11B	0	1	1	1
EPRS	0	1	1	1
SNTG2	0	1	1	1
ATP6V1C2	0	1	1	1
FKBP1B	0	1	1	1
ABHD1	0	1	1	1
C2orf16	0	1	1	1
ABCG5	0	1	1	1
NRXN1	0	1	1	1
CCDC88A	0	1	1	1
KIAA1841	0	1	1	1
ACTG2	0	1	1	1
EIF5B	0	1	1	1
SULT1C2	0	1	1	1
NCKAP1	0	1	1	1
NBEAL1	0	1	1	1
ZNF142	0	1	1	1
ALPI	0	1	1	1
ITPR1	0	1	1	1
NGLY1	0	1	1	1
LARS2	0	1	1	1
PTPN23	0	1	1	1
ATRIP	0	1	1	1
RBM6	0	1	1	1
ITIH1	0	1	1	1
FLNB	0	1	1	1
ACOX2	0	1	1	1
PDZRN3	0	1	1	1
ARL13B	0	1	1	1
NIT2	0	1	1	1
BBX	0	1	1	1
IL20RB	0	1	1	1
CPB1	0	1	1	1
FNDC3B	0	1	1	1
ABCC5	0	1	1	1
CLCN2	1	1	1	0
HRASLS	0	1	1	1
PCDH7	0	1	1	1
ZAR1	0	1	1	1
CDS1	0	1	1	1
PPP3CA	0	1	1	1
CISD2	0	1	1	1
TBCK	0	1	1	1
ZGRF1	0	1	1	1
ELF2	0	1	1	1
PDGFC	0	1	1	1
FASTKD3	0	1	1	1
OXCT1	0	1	1	1
DDX4	0	1	1	1
ADGRV1	0	1	1	1
SLF1	0	1	1	1
PAM	0	1	1	1
EPB41L4A	0	1	1	1
HSD17B4	0	1	1	1
SRFBP1	0	1	1	1
CEP120	0	1	1	1
KDM3B	0	1	1	1
PCDHGA12	0	1	1	1
HDAC3	0	1	1	1
CYFIP2	0	1	1	1
HMMR	0	1	1	1
FGFR4	0	1	1	1
BTNL8	0	1	1	1
PHACTR1	0	1	1	1
KIF13A	0	1	1	1
HIST1H2AG	0	1	1	1
MDC1	0	1	1	1
GPSM3	1	1	1	0
TMEM63B	0	1	1	1
RUNX2	0	1	1	1
MRAP2	0	1	1	1
GABRR1	0	1	1	1
HACE1	0	1	1	1
TRAF3IP2	0	1	1	1
RP3-403A15.5	0	1	1	1
ADGB	0	1	1	1
CCDC170	0	1	1	1
PHF10	0	1	1	1
CCZ1	0	1	1	1
VWDE	0	1	1	1
ZNF273	0	1	1	1
WBSCR22	0	1	1	1
MAGI2	0	1	1	1
AKAP9	0	1	1	1
CALCR	0	1	1	1
PON1	0	1	1	1
BMT2	0	1	1	1
WNT2	0	1	1	1
METTL2B	0	1	1	1
CALU	0	1	1	1
FLNC	0	1	1	1
CEP41	0	1	1	1
TRPV6	0	1	1	1
TCAF2	0	1	1	1
CHPF2	0	1	1	1
CLN8	0	1	1	1
ATP6V1B2	0	1	1	1
NUGGC	0	1	1	1
ASH2L	0	1	1	1
PLEKHA2	0	1	1	1
CHRNB3	0	1	1	1
PENK	0	1	1	1
UBE2W	0	1	1	1
RUNX1T1	0	1	1	1
EMC2	0	1	1	1
NDUFB9	0	1	1	1
WDR97	0	1	1	1
DMRTA1	0	1	1	1
HINT2	0	1	1	1
GNE	0	1	1	1
NMRK1	0	1	1	1
SEMA4D	0	1	1	1
FRRS1L	0	1	1	1
SUSD1	0	1	1	1
DPP7	0	1	1	1
NDOR1	0	1	1	1
HPS6	0	1	1	1
EBF3	0	1	1	1
EPS8L2	0	1	1	1
SMPD1	0	1	1	1
AMPD3	0	1	1	1
LDHA	0	1	1	1
MS4A10	0	1	1	1
PACS1	0	1	1	1
SYT12	0	1	1	1
DGAT2	0	1	1	1
FAM181B	0	1	1	1
FZD4	0	1	1	1
KDELC2	0	1	1	1
ABCG4	0	1	1	1
TMEM136	0	1	1	1
SNX19	0	1	1	1
CERS5	0	1	1	1
PCBP2	0	1	1	1
LRP1	0	1	1	1
MON2	0	1	1	1
PPM1H	0	1	1	1
TMEM5	0	1	1	1
PTPRQ	0	1	1	1
UBE2N	0	1	1	1
METAP2	0	1	1	1
SLC17A8	0	1	1	1
KIAA1033	0	1	1	1
CORO1C	0	1	1	1
CABP1	0	1	1	1
ANAPC5	0	1	1	1
BCL7A	0	1	1	1
SBNO1	0	1	1	1
DNAH10	0	1	1	1
ATP8A2	0	1	1	1
UCHL3	0	1	1	1
LIG4	0	1	1	1
COL4A2	0	1	1	1
MCF2L	0	1	1	1
TFDP1	0	1	1	1
HNRNPC	0	1	1	1
AL136419.6	0	1	1	1
MIS18BP1	0	1	1	1
SPTB	0	1	1	1
GPX2	0	1	1	1
EXD2	0	1	1	1
SEL1L	0	1	1	1
XRCC3	0	1	1	1
CHRM5	0	1	1	1
STRC	0	1	1	1
PIAS1	0	1	1	1
FAM174B	0	1	1	1
TARSL2	0	1	1	1
NPRL3	0	1	1	1
CCDC154	0	1	1	1
SYNGR3	0	1	1	1
ZSCAN32	0	1	1	1
CLUAP1	0	1	1	1
SDR42E2	0	1	1	1
EARS2	0	1	1	1
ATXN2L	0	1	1	1
ZNF48	0	1	1	1
TGFB1I1	0	1	1	1
RPGRIP1L	0	1	1	1
CES3	0	1	1	1
PLCG2	0	1	1	1
MBTPS1	0	1	1	1
P2RX1	0	1	1	1
ZZEF1	0	1	1	1
CLEC10A	0	1	1	1
MYH13	0	1	1	1
TRPV2	0	1	1	1
MYO18A	0	1	1	1
TP53I13	0	1	1	1
ARL5C	0	1	1	1
GPATCH8	0	1	1	1
GFAP	0	1	1	1
CLTC	0	1	1	1
MED13	0	1	1	1
TANC2	0	1	1	1
SLC39A11	0	1	1	1
GGA3	0	1	1	1
DNAH17	0	1	1	1
AATK	0	1	1	1
ZNF750	0	1	1	1
PPP4R1	0	1	1	1
SEH1L	0	1	1	1
RP11-322E11.6	0	1	1	1
SLC14A2	0	1	1	1
PIGN	0	1	1	1
UHRF1	0	1	1	1
RANBP3	0	1	1	1
TNFSF14	0	1	1	1
EPOR	0	1	1	1
WIZ	0	1	1	1
KLF2	0	1	1	1
CALR3	0	1	1	1
MVB12A	0	1	1	1
COLGALT1	0	1	1	1
VSTM2B	0	1	1	1
ATP4A	0	1	1	1
TOMM40	0	1	1	1
MARK4	0	1	1	1
SYMPK	0	1	1	1
CEACAM18	1	1	1	0
SIGLEC6	0	1	1	1
ZNF528	0	1	1	1
MYADM	0	1	1	1
LILRB5	0	1	1	1
IDH3B	0	1	1	1
RASSF2	0	1	1	1
RIN2	0	1	1	1
PIGU	0	1	1	1
VSTM2L	0	1	1	1
CTSA	0	1	1	1
PLTP	0	1	1	1
NCOA3	0	1	1	1
APCDD1L	0	1	1	1
DGCR2	0	1	1	1
HIRA	0	1	1	1
FBXO7	0	1	1	1
APOL3	0	1	1	1
CACNA1I	0	1	1	1
SLC25A17	0	1	1	1
KIAA1644	0	1	1	1
DENND6B	0	1	1	1
BCOR	0	1	1	1
PDZD11	0	1	1	1
KIAA1210	0	1	1	1
MAP7D3	0	1	1	1
MCF2	0	1	1	1
FCGR2C	0	1	1	1
QSOX1	0	1	1	1
ABCB10	0	1	1	1
GIGYF2	0	1	1	1
FAM208A	0	1	1	1
GPRIN3	0	1	1	1
POM121L2	0	1	1	1
VGF	0	1	1	1
RIC1	1	1	1	0
USP47	1	1	1	0
OR6M1	0	1	1	1
KIF5A	0	1	1	1
BORA	0	1	1	1
LRRC9	1	1	1	0
TCF12	1	1	1	0
ALOX12B	0	1	1	1
UBA2	0	1	1	1
KIAA2022	0	1	1	1
NVL	0	1	1	1
TPRKB	0	1	1	1
FREM3	0	1	1	1
CRISP3	0	1	1	1
ANO4	0	1	1	1
TMEM179	0	1	1	1
E4F1	0	1	1	1
THOP1	0	1	1	1
HFM1	1	1	1	0
SETDB1	0	1	1	1
INTS3	0	1	1	1
