Sample	stop_gained	frameshift_variant	stop_lost	inframe_deletion	missense_variant	synonymous_variant	inframe_insertion	start_lost	coding_sequence_variant	incomplete_terminal_codon_variant	start_retained_variant	stop_retained_variant
11M-ensemble-annotated	35.0	27.0	3.0	12.0	15.0	nan	3.0	nan	nan	nan	nan	nan
11T-ensemble-annotated	62.0	2.0	3.0	nan	13.0	6.0	nan	nan	nan	nan	nan	nan
14M-ensemble-annotated	15.0	41.0	3.0	1.0	35.0	5.0	9.0	nan	nan	nan	nan	nan
14T-ensemble-annotated	26.0	15.0	4.0	2.0	6.0	nan	nan	nan	nan	nan	nan	nan
17M-ensemble-annotated	2.0	28.0	nan	nan	11.0	nan	nan	nan	nan	nan	nan	nan
17T-ensemble-annotated	2.0	13.0	nan	nan	6.0	nan	nan	nan	nan	nan	nan	nan
18M-ensemble-annotated	66.0	24.0	3.0	8.0	15.0	2.0	nan	6.0	1.0	nan	nan	nan
18T-ensemble-annotated	19.0	5.0	3.0	1.0	4.0	nan	nan	nan	1.0	nan	nan	nan
26M-ensemble-annotated	13.0	9.0	3.0	13.0	11.0	nan	nan	nan	11.0	nan	nan	nan
26T-ensemble-annotated	20.0	2.0	1.0	4.0	6.0	4.0	6.0	nan	nan	nan	nan	nan
27M-ensemble-annotated	313.0	47.0	nan	18.0	214.0	nan	nan	12.0	nan	nan	nan	nan
27T-ensemble-annotated	10.0	29.0	nan	1.0	43.0	nan	1.0	nan	nan	nan	nan	nan
2M-ensemble-annotated	59.0	22.0	4.0	4.0	14.0	nan	nan	nan	nan	nan	nan	nan
2T-ensemble-annotated	35.0	3.0	4.0	8.0	12.0	nan	nan	nan	nan	nan	nan	nan
36M-ensemble-annotated	10.0	25.0	1.0	2.0	3.0	nan	nan	nan	nan	nan	nan	nan
36T-ensemble-annotated	10.0	nan	6.0	5.0	7.0	nan	nan	nan	nan	nan	nan	nan
40M-ensemble-annotated	6.0	5.0	1.0	5.0	11.0	nan	2.0	3.0	nan	nan	nan	nan
40T-ensemble-annotated	6.0	1.0	nan	3.0	9.0	nan	nan	nan	nan	nan	nan	nan
45M-ensemble-annotated	502.0	206.0	3.0	28.0	654.0	30.0	38.0	11.0	5.0	5.0	1.0	2.0
45T-ensemble-annotated	35.0	22.0	5.0	5.0	42.0	1.0	18.0	5.0	nan	nan	1.0	2.0
46M-ensemble-annotated	34.0	50.0	nan	nan	14.0	1.0	nan	nan	nan	nan	nan	nan
46T-ensemble-annotated	140.0	43.0	nan	nan	72.0	16.0	nan	1.0	nan	nan	nan	nan
