Sample	splice_acceptor_variant	splice_donor_variant	stop_gained	frameshift_variant	stop_lost	inframe_deletion	missense_variant	splice_region_variant	5_prime_UTR_variant	3_prime_UTR_variant	non_coding_transcript_exon_variant	intron_variant	NMD_transcript_variant	non_coding_transcript_variant	upstream_gene_variant	downstream_gene_variant	synonymous_variant	splice_polypyrimidine_tract_variant	inframe_insertion	start_lost	coding_sequence_variant	intergenic_variant	splice_donor_5th_base_variant	splice_donor_region_variant	incomplete_terminal_codon_variant	start_retained_variant	stop_retained_variant
11M-ensemble-annotated	2.0	1.0	35.0	27.0	3.0	12.0	15.0	18.0	18.0	12.0	30.0	45.0	33.0	18.0	43.0	11.0	nan	nan	3.0	nan	nan	nan	nan	nan	nan	nan	nan
11T-ensemble-annotated	1.0	9.0	62.0	2.0	3.0	nan	13.0	45.0	1.0	29.0	35.0	252.0	156.0	38.0	16.0	66.0	6.0	26.0	nan	nan	nan	nan	nan	nan	nan	nan	nan
14M-ensemble-annotated	2.0	9.0	15.0	41.0	3.0	1.0	35.0	53.0	3.0	17.0	41.0	117.0	91.0	29.0	28.0	56.0	5.0	2.0	9.0	nan	nan	nan	nan	nan	nan	nan	nan
14T-ensemble-annotated	2.0	53.0	26.0	15.0	4.0	2.0	6.0	14.0	3.0	8.0	14.0	70.0	57.0	37.0	30.0	25.0	nan	2.0	nan	nan	nan	nan	nan	nan	nan	nan	nan
17M-ensemble-annotated	21.0	3.0	2.0	28.0	nan	nan	11.0	10.0	nan	9.0	9.0	67.0	33.0	15.0	11.0	23.0	nan	4.0	nan	nan	nan	nan	nan	nan	nan	nan	nan
17T-ensemble-annotated	1.0	7.0	2.0	13.0	nan	nan	6.0	6.0	nan	4.0	4.0	4.0	9.0	1.0	1.0	7.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
18M-ensemble-annotated	25.0	41.0	66.0	24.0	3.0	8.0	15.0	25.0	nan	20.0	43.0	56.0	31.0	62.0	85.0	69.0	2.0	10.0	nan	6.0	1.0	nan	nan	nan	nan	nan	nan
18T-ensemble-annotated	18.0	1.0	19.0	5.0	3.0	1.0	4.0	4.0	nan	14.0	13.0	14.0	15.0	17.0	34.0	36.0	nan	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan
26M-ensemble-annotated	5.0	34.0	13.0	9.0	3.0	13.0	11.0	14.0	1.0	13.0	28.0	64.0	31.0	12.0	45.0	54.0	nan	nan	nan	nan	11.0	nan	nan	nan	nan	nan	nan
26T-ensemble-annotated	nan	8.0	20.0	2.0	1.0	4.0	6.0	17.0	1.0	6.0	20.0	34.0	25.0	9.0	15.0	37.0	4.0	2.0	6.0	nan	nan	nan	nan	nan	nan	nan	nan
27M-ensemble-annotated	171.0	143.0	313.0	47.0	nan	18.0	214.0	311.0	11.0	77.0	247.0	224.0	203.0	142.0	267.0	610.0	nan	1.0	nan	12.0	nan	1.0	nan	nan	nan	nan	nan
27T-ensemble-annotated	42.0	6.0	10.0	29.0	nan	1.0	43.0	31.0	nan	11.0	49.0	41.0	25.0	57.0	46.0	37.0	nan	nan	1.0	nan	nan	nan	nan	nan	nan	nan	nan
2M-ensemble-annotated	2.0	1.0	59.0	22.0	4.0	4.0	14.0	15.0	9.0	11.0	33.0	92.0	52.0	24.0	45.0	39.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
