Sample	splice_acceptor_variant	splice_donor_variant	stop_gained	frameshift_variant	stop_lost	missense_variant	5_prime_UTR_variant	inframe_deletion	non_coding_transcript_exon_variant	3_prime_UTR_variant	inframe_insertion	start_lost	splice_region_variant	intergenic_variant	splice_polypyrimidine_tract_variant	intron_variant	upstream_gene_variant	splice_donor_5th_base_variant	synonymous_variant
11M-ensemble-annotated	2.0	1.0	7.0	8.0	2.0	3.0	nan	1.0	nan	nan	2.0	nan	nan	nan	nan	nan	nan	nan	nan
11T-ensemble-annotated	1.0	6.0	15.0	2.0	2.0	6.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
14M-ensemble-annotated	1.0	3.0	7.0	7.0	3.0	7.0	nan	1.0	nan	1.0	1.0	nan	nan	nan	nan	nan	nan	nan	nan
14T-ensemble-annotated	1.0	4.0	10.0	2.0	1.0	3.0	nan	2.0	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
17M-ensemble-annotated	2.0	1.0	2.0	8.0	nan	5.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
17T-ensemble-annotated	1.0	2.0	1.0	3.0	nan	3.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
18M-ensemble-annotated	4.0	4.0	12.0	7.0	1.0	4.0	nan	3.0	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan	nan
18T-ensemble-annotated	3.0	1.0	5.0	1.0	1.0	2.0	nan	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
26M-ensemble-annotated	1.0	3.0	7.0	5.0	3.0	4.0	nan	4.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
26T-ensemble-annotated	nan	3.0	3.0	1.0	1.0	2.0	nan	1.0	nan	nan	1.0	nan	1.0	nan	nan	nan	nan	nan	nan
27M-ensemble-annotated	24.0	33.0	49.0	14.0	nan	50.0	nan	3.0	1.0	nan	nan	1.0	1.0	1.0	nan	nan	nan	nan	nan
27T-ensemble-annotated	1.0	2.0	2.0	10.0	nan	5.0	nan	1.0	nan	nan	1.0	nan	nan	nan	nan	nan	nan	nan	nan
2M-ensemble-annotated	1.0	1.0	9.0	9.0	1.0	5.0	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2T-ensemble-annotated	1.0	5.0	7.0	2.0	1.0	4.0	1.0	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
36M-ensemble-annotated	nan	nan	3.0	7.0	1.0	1.0	nan	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
36T-ensemble-annotated	nan	2.0	2.0	nan	2.0	2.0	nan	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
40M-ensemble-annotated	3.0	nan	1.0	3.0	1.0	4.0	nan	1.0	nan	nan	1.0	1.0	2.0	nan	nan	nan	nan	nan	nan
40T-ensemble-annotated	3.0	nan	1.0	1.0	nan	2.0	nan	1.0	1.0	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan
45M-ensemble-annotated	53.0	94.0	141.0	44.0	2.0	143.0	1.0	14.0	5.0	1.0	11.0	4.0	1.0	nan	1.0	1.0	nan	nan	nan
45T-ensemble-annotated	2.0	3.0	18.0	8.0	3.0	15.0	1.0	5.0	3.0	1.0	4.0	1.0	nan	nan	nan	nan	1.0	nan	nan
46M-ensemble-annotated	3.0	nan	7.0	13.0	nan	3.0	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	nan
46T-ensemble-annotated	9.0	31.0	34.0	12.0	nan	26.0	nan	nan	nan	nan	nan	1.0	nan	1.0	nan	nan	nan	1.0	nan
52M-ensemble-annotated	1.0	2.0	4.0	3.0	1.0	3.0	nan	1.0	1.0	nan	2.0	nan	1.0	nan	nan	nan	1.0	nan	nan
52T-ensemble-annotated	1.0	nan	8.0	5.0	nan	1.0	nan	1.0	1.0	nan	1.0	nan	1.0	nan	nan	nan	nan	nan	nan
57M-ensemble-annotated	7.0	13.0	19.0	15.0	nan	19.0	1.0	11.0	1.0	3.0	11.0	2.0	nan	nan	nan	2.0	nan	nan	nan
