Sample	00-10%	10-20%	20-30%	30-40%	40-50%	50-60%	60-70%	70-80%	80-90%	90-100%
11M-ensemble-annotated	5.0	10.0	9.0	5.0	2.0	14.0	12.0	15.0	15.0	8.0
11T-ensemble-annotated	3.0	3.0	5.0	5.0	5.0	10.0	6.0	9.0	26.0	14.0
14M-ensemble-annotated	5.0	9.0	9.0	13.0	10.0	8.0	13.0	5.0	27.0	10.0
14T-ensemble-annotated	0.0	3.0	3.0	12.0	5.0	3.0	11.0	3.0	6.0	7.0
17M-ensemble-annotated	5.0	5.0	1.0	7.0	3.0	5.0	3.0	6.0	4.0	2.0
17T-ensemble-annotated	3.0	2.0	1.0	5.0	2.0	3.0	0.0	1.0	2.0	2.0
18M-ensemble-annotated	9.0	6.0	5.0	10.0	5.0	7.0	16.0	34.0	11.0	17.0
18T-ensemble-annotated	4.0	1.0	5.0	1.0	0.0	1.0	2.0	3.0	8.0	8.0
26M-ensemble-annotated	7.0	2.0	2.0	4.0	8.0	9.0	6.0	10.0	3.0	9.0
26T-ensemble-annotated	0.0	5.0	8.0	4.0	3.0	5.0	2.0	8.0	1.0	7.0
27M-ensemble-annotated	36.0	52.0	57.0	90.0	67.0	57.0	76.0	48.0	101.0	20.0
27T-ensemble-annotated	17.0	5.0	2.0	0.0	4.0	3.0	17.0	14.0	15.0	7.0
2M-ensemble-annotated	9.0	10.0	10.0	4.0	12.0	18.0	10.0	8.0	9.0	9.0
2T-ensemble-annotated	8.0	6.0	9.0	5.0	3.0	5.0	5.0	8.0	5.0	4.0
36M-ensemble-annotated	2.0	13.0	3.0	2.0	2.0	2.0	6.0	7.0	2.0	2.0
36T-ensemble-annotated	5.0	3.0	1.0	0.0	3.0	0.0	7.0	2.0	0.0	7.0
40M-ensemble-annotated	8.0	5.0	0.0	1.0	4.0	2.0	0.0	3.0	7.0	3.0
40T-ensemble-annotated	0.0	4.0	0.0	0.0	2.0	3.0	0.0	2.0	7.0	1.0
45M-ensemble-annotated	145.0	137.0	138.0	137.0	138.0	166.0	145.0	157.0	135.0	178.0
45T-ensemble-annotated	19.0	9.0	5.0	9.0	19.0	14.0	10.0	14.0	16.0	16.0
46M-ensemble-annotated	7.0	4.0	10.0	13.0	18.0	5.0	9.0	12.0	10.0	11.0
46T-ensemble-annotated	14.0	14.0	19.0	45.0	26.0	38.0	42.0	18.0	26.0	30.0
52M-ensemble-annotated	11.0	2.0	4.0	3.0	4.0	3.0	5.0	4.0	2.0	2.0
52T-ensemble-annotated	13.0	12.0	13.0	1.0	1.0	3.0	5.0	8.0	0.0	4.0
57M-ensemble-annotated	50.0	13.0	23.0	24.0	17.0	27.0	10.0	19.0	12.0	14.0
57T-ensemble-annotated	13.0	4.0	1.0	5.0	2.0	3.0	3.0	1.0	14.0	4.0
59M-ensemble-annotated	10.0	24.0	12.0	12.0	9.0	15.0	13.0	23.0	10.0	10.0
59T-ensemble-annotated	1.0	18.0	11.0	7.0	8.0	12.0	5.0	11.0	6.0	12.0
