Sample	insertion	deletion	SNV
11M-ensemble-annotated	4.0	7.0	15.0
11T-ensemble-annotated	nan	2.0	30.0
14M-ensemble-annotated	2.0	9.0	20.0
14T-ensemble-annotated	nan	5.0	19.0
17M-ensemble-annotated	nan	8.0	10.0
17T-ensemble-annotated	1.0	2.0	7.0
18M-ensemble-annotated	nan	10.0	26.0
18T-ensemble-annotated	nan	2.0	12.0
26M-ensemble-annotated	1.0	9.0	17.0
26T-ensemble-annotated	1.0	2.0	10.0
27M-ensemble-annotated	2.0	15.0	160.0
27T-ensemble-annotated	3.0	9.0	10.0
2M-ensemble-annotated	5.0	6.0	16.0
2T-ensemble-annotated	2.0	3.0	17.0
36M-ensemble-annotated	1.0	7.0	5.0
36T-ensemble-annotated	nan	1.0	8.0
40M-ensemble-annotated	3.0	5.0	9.0
40T-ensemble-annotated	1.0	3.0	6.0
45M-ensemble-annotated	23.0	51.0	442.0
45T-ensemble-annotated	7.0	15.0	43.0
46M-ensemble-annotated	4.0	9.0	14.0
46T-ensemble-annotated	7.0	5.0	103.0
52M-ensemble-annotated	5.0	2.0	13.0
52T-ensemble-annotated	4.0	4.0	11.0
57M-ensemble-annotated	13.0	27.0	64.0
57T-ensemble-annotated	nan	2.0	10.0
59M-ensemble-annotated	nan	9.0	25.0
59T-ensemble-annotated	2.0	5.0	28.0
5M-ensemble-annotated	nan	nan	7.0
5T-ensemble-annotated	1.0	2.0	13.0
64M-ensemble-annotated	15.0	34.0	216.0
64T-ensemble-annotated	9.0	13.0	20.0
66M-ensemble-annotated	11.0	17.0	56.0
66T-ensemble-annotated	11.0	15.0	31.0
6M-ensemble-annotated	3.0	8.0	6.0
6T-ensemble-annotated	3.0	nan	16.0
73M-ensemble-annotated	1.0	8.0	11.0
73T-ensemble-annotated	2.0	10.0	27.0
75M-ensemble-annotated	14.0	29.0	210.0
75T-ensemble-annotated	17.0	28.0	48.0
76M-ensemble-annotated	11.0	21.0	224.0
76T-ensemble-annotated	12.0	24.0	40.0
77M-ensemble-annotated	2.0	6.0	17.0
77T-ensemble-annotated	11.0	11.0	285.0
82M-ensemble-annotated	9.0	6.0	11.0
82T-ensemble-annotated	7.0	5.0	14.0
83M-ensemble-annotated	9.0	23.0	32.0
83T-ensemble-annotated	11.0	25.0	40.0
84M-ensemble-annotated	3.0	3.0	64.0
84T-ensemble-annotated	10.0	11.0	41.0
86M-ensemble-annotated	16.0	30.0	28.0
86T-ensemble-annotated	13.0	16.0	27.0
88M-ensemble-annotated	10.0	22.0	35.0
88T-ensemble-annotated	10.0	15.0	72.0
9M-ensemble-annotated	2.0	10.0	30.0
9T-ensemble-annotated	2.0	7.0	12.0
