Sample	Overlapped transcripts	Overlapped genes	Variants filtered out	Variants processed	Lines of input read
11M-ensemble-annotated	257	43	0	26	26
11T-ensemble-annotated	421	52	0	32	32
14M-ensemble-annotated	368	47	0	31	31
14T-ensemble-annotated	238	33	0	24	24
17M-ensemble-annotated	184	36	0	18	18
17T-ensemble-annotated	49	10	0	10	10
18M-ensemble-annotated	446	57	0	36	36
18T-ensemble-annotated	161	20	0	14	14
26M-ensemble-annotated	275	45	0	27	27
26T-ensemble-annotated	164	21	0	13	13
27M-ensemble-annotated	2351	293	0	177	177
27T-ensemble-annotated	316	35	0	22	22
2M-ensemble-annotated	331	53	0	27	27
2T-ensemble-annotated	166	37	0	22	22
36M-ensemble-annotated	100	20	0	13	13
36T-ensemble-annotated	85	13	0	9	9
40M-ensemble-annotated	108	26	0	17	17
40T-ensemble-annotated	78	13	0	10	10
45M-ensemble-annotated	5483	850	0	516	516
45T-ensemble-annotated	658	115	0	65	65
46M-ensemble-annotated	234	38	0	27	27
46T-ensemble-annotated	1303	185	0	115	115
52M-ensemble-annotated	208	41	0	20	20
52T-ensemble-annotated	173	28	0	19	19
57M-ensemble-annotated	842	161	0	104	104
57T-ensemble-annotated	136	19	0	12	12
59M-ensemble-annotated	312	52	0	34	34
59T-ensemble-annotated	411	61	0	35	35
5M-ensemble-annotated	57	10	0	7	7
5T-ensemble-annotated	152	32	0	16	16
64M-ensemble-annotated	2975	397	0	265	265
64T-ensemble-annotated	414	75	0	42	42
66M-ensemble-annotated	628	117	0	84	84
66T-ensemble-annotated	420	74	0	57	57
6M-ensemble-annotated	244	25	0	17	17
6T-ensemble-annotated	370	30	0	19	19
73M-ensemble-annotated	184	25	0	20	20
73T-ensemble-annotated	470	67	0	39	39
75M-ensemble-annotated	2620	390	0	253	253
75T-ensemble-annotated	780	133	0	93	93
76M-ensemble-annotated	2818	395	0	256	256
76T-ensemble-annotated	627	112	0	76	76
77M-ensemble-annotated	271	38	0	25	25
77T-ensemble-annotated	2944	436	0	307	307
82M-ensemble-annotated	328	47	0	26	26
82T-ensemble-annotated	239	45	0	26	26
83M-ensemble-annotated	530	96	0	64	64
83T-ensemble-annotated	608	122	0	76	76
84M-ensemble-annotated	862	109	0	70	70
84T-ensemble-annotated	488	92	0	62	62
86M-ensemble-annotated	588	117	0	74	74
86T-ensemble-annotated	406	95	0	56	56
88M-ensemble-annotated	679	101	0	67	67
88T-ensemble-annotated	1074	153	0	97	97
9M-ensemble-annotated	421	67	0	42	42
9T-ensemble-annotated	171	31	0	21	21
