task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	b6/b4f334	349152	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (77M-ensemble-annotated)	COMPLETED	0	2026-07-01 09:00:18.925	48.2s	28.4s	48.6%	86.7 MB	122.5 MB	3 GB	810.7 KB
3	89/11bd4b	349151	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (9M-ensemble-annotated)	COMPLETED	0	2026-07-01 09:00:18.715	48.4s	29.6s	50.0%	91.9 MB	140.7 MB	3 GB	1 MB
2	d4/2cf733	349149	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (14M-ensemble-annotated)	COMPLETED	0	2026-07-01 09:00:18.215	48.8s	31.3s	45.2%	86 MB	125.9 MB	3 GB	1.1 MB
5	61/d87086	349150	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (57M-ensemble-annotated)	COMPLETED	0	2026-07-01 09:00:18.408	53.7s	34.8s	48.5%	86 MB	125.9 MB	3.1 GB	2.1 MB
6	4c/b7ae10	349154	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (17T-ensemble-annotated)	COMPLETED	0	2026-07-01 09:01:07.460	39.6s	27.2s	45.5%	82.7 MB	122.5 MB	3 GB	417 KB
7	89/c5f2d6	349153	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (84M-ensemble-annotated)	COMPLETED	0	2026-07-01 09:01:07.246	44.8s	31.7s	50.9%	91.8 MB	155.6 MB	3.1 GB	1.9 MB
9	02/ac2785	349155	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (75M-ensemble-annotated)	COMPLETED	0	2026-07-01 09:01:07.658	54.4s	40.5s	59.1%	94.7 MB	159.3 MB	3.3 GB	6.9 MB
8	5e/43cbc5	349156	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (77T-ensemble-annotated)	COMPLETED	0	2026-07-01 09:01:12.251	54.8s	42.1s	60.1%	92.7 MB	156.6 MB	3.4 GB	5.8 MB
10	e8/16c8bc	349157	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (82M-ensemble-annotated)	COMPLETED	0	2026-07-01 09:01:47.263	34.8s	24.2s	52.3%	85.3 MB	122.5 MB	3 GB	857.5 KB
11	0e/7ada66	349158	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (40T-ensemble-annotated)	COMPLETED	0	2026-07-01 09:01:52.264	39.8s	26.8s	47.8%	83 MB	122.5 MB	3 GB	438.5 KB
12	bf/faac8e	349159	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (83T-ensemble-annotated)	COMPLETED	0	2026-07-01 09:02:02.248	39.8s	30.2s	51.4%	92.7 MB	155.4 MB	3 GB	1.6 MB
