module	metric	n_pairs	median_primary	median_recurrent	median_delta	mean_delta	wilcoxon_stat	p_value	p_value_adj_bh	note
3	nmd_fraction	11	0.5	1.0	0.0	0.254	1.0	0.0625	0.11458333333333333	11 pair(s) dropped (undefined metric)
3	nmd_sensitive	22	0.5	1.0	0.0	1.0	22.5	0.10171270530264229	0.14732549381144486	
3	nmd_insensitive	22	0.0	0.0	0.0	0.1818	14.0	0.5574801348628696	0.5574801348628696	
4	total_peptides	22	3.0	4.5	2.0	8.0	24.0	0.004028966552864806	0.023865144877311242	
4	strong_binders	22	2.0	2.5	1.0	5.0455	25.0	0.004339117250420226	0.023865144877311242	
4	clonal_binders	22	2.0	3.0	1.0	5.7273	56.5	0.03766252696195753	0.08476545362981211	
4	fraction_clonal	22	0.7639	0.6736	-0.0875	-0.1269	55.0	0.1071458136810508	0.14732549381144486	
5	fraction_escape_strong	8	0.4166	0.125	-0.125	-0.1979	0.0	0.125	0.1527777777777778	14 pair(s) dropped (undefined metric)
5	fraction_escape_all	12	0.375	0.0	-0.125	-0.2537	1.0	0.03125	0.08476545362981211	10 pair(s) dropped (undefined metric)
5	nmd_sensitive_neo_strong	22	0.0	1.0	0.0	0.9545	13.5	0.038529751649914595	0.08476545362981211	
5	nmd_escape_neo_strong	22	0.0	0.0	0.0	0.0909	5.0	0.4795001221869535	0.5274501344056488	
