Sample	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chrX	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22
11M-ensemble-annotated	3.0	2.0	1.0	1.0	nan	2.0	3.0	nan	nan	1.0	1.0	4.0	2.0	nan	1.0	nan	nan	nan	1.0	1.0	nan	nan	3.0
11T-ensemble-annotated	2.0	2.0	2.0	nan	nan	3.0	3.0	nan	nan	2.0	2.0	nan	5.0	nan	nan	1.0	nan	3.0	1.0	4.0	nan	1.0	1.0
14M-ensemble-annotated	3.0	1.0	2.0	nan	nan	3.0	1.0	1.0	2.0	1.0	nan	nan	3.0	1.0	1.0	3.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0
14T-ensemble-annotated	2.0	nan	1.0	nan	2.0	nan	1.0	2.0	nan	nan	3.0	nan	5.0	nan	nan	1.0	nan	3.0	nan	2.0	1.0	nan	1.0
17M-ensemble-annotated	2.0	2.0	nan	nan	2.0	5.0	1.0	nan	nan	1.0	1.0	2.0	1.0	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan
17T-ensemble-annotated	nan	1.0	nan	nan	nan	2.0	1.0	1.0	1.0	nan	1.0	1.0	1.0	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan
18M-ensemble-annotated	nan	1.0	1.0	1.0	1.0	1.0	1.0	nan	3.0	4.0	2.0	2.0	2.0	nan	3.0	nan	5.0	5.0	1.0	2.0	nan	nan	1.0
18T-ensemble-annotated	nan	nan	1.0	nan	nan	nan	nan	1.0	nan	nan	1.0	nan	1.0	nan	3.0	2.0	1.0	3.0	1.0	nan	nan	nan	nan
26M-ensemble-annotated	3.0	1.0	1.0	nan	nan	1.0	2.0	1.0	4.0	nan	nan	6.0	nan	nan	nan	1.0	nan	1.0	1.0	5.0	nan	nan	nan
26T-ensemble-annotated	2.0	nan	nan	1.0	nan	nan	nan	1.0	nan	nan	nan	2.0	nan	nan	1.0	1.0	nan	2.0	nan	3.0	nan	nan	nan
27M-ensemble-annotated	15.0	21.0	8.0	3.0	9.0	6.0	9.0	8.0	2.0	8.0	6.0	14.0	14.0	3.0	6.0	6.0	4.0	14.0	4.0	6.0	5.0	3.0	3.0
27T-ensemble-annotated	4.0	3.0	2.0	1.0	1.0	nan	nan	1.0	1.0	1.0	1.0	2.0	1.0	nan	nan	1.0	nan	1.0	nan	1.0	1.0	nan	nan
2M-ensemble-annotated	2.0	3.0	3.0	1.0	nan	2.0	1.0	1.0	2.0	2.0	1.0	1.0	3.0	nan	nan	nan	1.0	1.0	nan	nan	1.0	nan	2.0
2T-ensemble-annotated	nan	2.0	3.0	2.0	1.0	1.0	1.0	nan	1.0	2.0	1.0	nan	2.0	nan	nan	nan	1.0	nan	nan	1.0	1.0	1.0	2.0
36M-ensemble-annotated	1.0	1.0	nan	1.0	nan	nan	nan	1.0	1.0	nan	1.0	nan	2.0	nan	1.0	1.0	nan	2.0	nan	1.0	nan	nan	nan
36T-ensemble-annotated	1.0	nan	1.0	nan	nan	nan	nan	1.0	1.0	nan	nan	1.0	nan	nan	nan	1.0	nan	1.0	1.0	1.0	nan	nan	nan
40M-ensemble-annotated	2.0	2.0	nan	2.0	1.0	1.0	3.0	nan	nan	nan	nan	1.0	1.0	nan	1.0	1.0	1.0	nan	nan	1.0	nan	nan	nan
40T-ensemble-annotated	nan	nan	nan	2.0	1.0	nan	2.0	nan	nan	nan	1.0	2.0	nan	nan	1.0	nan	1.0	nan	nan	nan	nan	nan	nan
45M-ensemble-annotated	54.0	27.0	30.0	16.0	22.0	37.0	36.0	21.0	18.0	6.0	7.0	33.0	30.0	13.0	17.0	14.0	25.0	41.0	7.0	33.0	14.0	1.0	14.0
45T-ensemble-annotated	4.0	2.0	3.0	1.0	1.0	11.0	3.0	3.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	3.0	nan	6.0	nan	11.0	nan	1.0	5.0
46M-ensemble-annotated	5.0	1.0	1.0	2.0	nan	2.0	2.0	nan	1.0	2.0	nan	2.0	2.0	2.0	1.0	2.0	nan	1.0	nan	1.0	nan	nan	nan
46T-ensemble-annotated	12.0	12.0	5.0	2.0	4.0	4.0	9.0	1.0	3.0	1.0	3.0	11.0	2.0	3.0	2.0	9.0	5.0	7.0	2.0	12.0	2.0	2.0	2.0
52M-ensemble-annotated	3.0	2.0	nan	1.0	nan	1.0	3.0	nan	nan	nan	nan	1.0	2.0	nan	2.0	nan	1.0	nan	nan	4.0	nan	nan	nan
52T-ensemble-annotated	1.0	4.0	nan	1.0	nan	nan	4.0	nan	nan	2.0	1.0	1.0	2.0	nan	1.0	nan	nan	1.0	nan	1.0	nan	nan	nan
57M-ensemble-annotated	9.0	6.0	3.0	nan	5.0	8.0	12.0	2.0	2.0	1.0	2.0	5.0	6.0	6.0	2.0	5.0	3.0	7.0	1.0	8.0	5.0	1.0	5.0
57T-ensemble-annotated	2.0	1.0	nan	nan	1.0	nan	nan	nan	1.0	2.0	nan	1.0	nan	nan	nan	nan	nan	2.0	nan	nan	nan	1.0	1.0
59M-ensemble-annotated	4.0	nan	1.0	3.0	1.0	1.0	4.0	2.0	nan	2.0	1.0	nan	4.0	nan	nan	1.0	nan	3.0	2.0	3.0	nan	1.0	1.0
59T-ensemble-annotated	3.0	3.0	nan	nan	1.0	3.0	1.0	nan	1.0	1.0	3.0	2.0	6.0	1.0	1.0	nan	nan	2.0	nan	5.0	nan	nan	2.0
5M-ensemble-annotated	nan	nan	nan	nan	1.0	1.0	nan	nan	nan	nan	nan	nan	nan	nan	1.0	2.0	1.0	nan	1.0	nan	nan	nan	nan
5T-ensemble-annotated	1.0	nan	nan	nan	1.0	2.0	1.0	1.0	1.0	nan	nan	nan	2.0	3.0	nan	1.0	nan	1.0	1.0	nan	nan	nan	1.0
64M-ensemble-annotated	30.0	30.0	18.0	14.0	6.0	11.0	26.0	6.0	8.0	6.0	3.0	18.0	15.0	2.0	9.0	10.0	9.0	9.0	7.0	15.0	6.0	3.0	4.0
64T-ensemble-annotated	1.0	3.0	1.0	1.0	2.0	5.0	3.0	nan	2.0	1.0	nan	1.0	1.0	nan	4.0	1.0	3.0	2.0	2.0	7.0	1.0	1.0	nan
66M-ensemble-annotated	5.0	5.0	3.0	1.0	3.0	12.0	14.0	1.0	3.0	nan	3.0	4.0	3.0	4.0	2.0	3.0	1.0	5.0	nan	8.0	1.0	nan	3.0
66T-ensemble-annotated	1.0	4.0	1.0	nan	nan	9.0	17.0	1.0	3.0	nan	nan	3.0	1.0	2.0	2.0	3.0	nan	3.0	nan	6.0	nan	nan	1.0
6M-ensemble-annotated	2.0	nan	1.0	2.0	1.0	1.0	nan	2.0	nan	nan	nan	1.0	nan	2.0	nan	nan	1.0	1.0	1.0	1.0	1.0	nan	nan
6T-ensemble-annotated	1.0	2.0	3.0	nan	nan	1.0	nan	1.0	nan	1.0	nan	1.0	1.0	1.0	nan	nan	1.0	1.0	2.0	1.0	1.0	nan	1.0
73M-ensemble-annotated	1.0	2.0	nan	3.0	1.0	1.0	nan	1.0	nan	nan	1.0	nan	1.0	nan	nan	nan	2.0	4.0	nan	3.0	nan	nan	nan
73T-ensemble-annotated	2.0	2.0	1.0	nan	1.0	5.0	1.0	1.0	nan	2.0	2.0	2.0	nan	2.0	2.0	nan	2.0	3.0	1.0	7.0	2.0	nan	1.0
75M-ensemble-annotated	21.0	21.0	14.0	11.0	16.0	13.0	27.0	3.0	9.0	5.0	8.0	14.0	11.0	4.0	9.0	8.0	7.0	21.0	4.0	16.0	5.0	2.0	4.0
75T-ensemble-annotated	2.0	4.0	4.0	2.0	5.0	5.0	11.0	1.0	nan	1.0	3.0	6.0	3.0	3.0	4.0	6.0	3.0	12.0	2.0	11.0	nan	1.0	4.0
76M-ensemble-annotated	31.0	13.0	12.0	11.0	8.0	13.0	32.0	11.0	8.0	4.0	6.0	14.0	16.0	3.0	11.0	4.0	4.0	17.0	7.0	17.0	3.0	2.0	9.0
