Sample	Variant classes	Consequences (most severe)	Consequences (all)	Coding consequences	Variants by chromosome	Position in protein	General statistics
11M-ensemble-annotated	{'insertion': 4, 'deletion': 7, 'SNV': 15}	{'splice_acceptor_variant': 2, 'splice_donor_variant': 1, 'stop_gained': 7, 'frameshift_variant': 8, 'stop_lost': 2, 'inframe_insertion': 2, 'inframe_deletion': 1, 'missense_variant': 3}	{'splice_acceptor_variant': 2, 'splice_donor_variant': 1, 'stop_gained': 35, 'frameshift_variant': 27, 'stop_lost': 3, 'inframe_insertion': 3, 'inframe_deletion': 12, 'missense_variant': 15, 'splice_region_variant': 18, '5_prime_UTR_variant': 18, '3_prime_UTR_variant': 12, 'non_coding_transcript_exon_variant': 30, 'intron_variant': 45, 'NMD_transcript_variant': 33, 'non_coding_transcript_variant': 18, 'upstream_gene_variant': 43, 'downstream_gene_variant': 11}	{'stop_gained': 35, 'frameshift_variant': 27, 'stop_lost': 3, 'inframe_insertion': 3, 'inframe_deletion': 12, 'missense_variant': 15}	{'chr1': 3, 'chr2': 2, 'chr3': 1, 'chr4': 1, 'chr6': 2, 'chr7': 3, 'chr10': 1, 'chr11': 4, 'chr12': 2, 'chr14': 1, 'chr18': 1, 'chr19': 1, 'chr22': 3, 'chrX': 1}	{'00-10%': 5, '10-20%': 10, '20-30%': 9, '30-40%': 5, '40-50%': 2, '50-60%': 14, '60-70%': 12, '70-80%': 15, '80-90%': 15, '90-100%': 8}	{'Lines of input read': 26, 'Variants processed': 26, 'Variants filtered out': 0, 'Overlapped genes': 43, 'Overlapped transcripts': 257}
11T-ensemble-annotated	{'deletion': 2, 'SNV': 30}	{'splice_acceptor_variant': 1, 'splice_donor_variant': 6, 'stop_gained': 15, 'frameshift_variant': 2, 'stop_lost': 2, 'missense_variant': 6}	{'splice_acceptor_variant': 1, 'splice_donor_variant': 9, 'stop_gained': 62, 'frameshift_variant': 2, 'stop_lost': 3, 'missense_variant': 13, 'splice_region_variant': 45, 'splice_polypyrimidine_tract_variant': 26, 'synonymous_variant': 6, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 29, 'non_coding_transcript_exon_variant': 35, 'intron_variant': 252, 'NMD_transcript_variant': 156, 'non_coding_transcript_variant': 38, 'upstream_gene_variant': 16, 'downstream_gene_variant': 66}	{'stop_gained': 62, 'frameshift_variant': 2, 'stop_lost': 3, 'missense_variant': 13, 'synonymous_variant': 6}	{'chr1': 2, 'chr2': 2, 'chr3': 2, 'chr6': 3, 'chr7': 3, 'chr10': 2, 'chr12': 5, 'chr15': 1, 'chr17': 3, 'chr18': 1, 'chr19': 4, 'chr21': 1, 'chr22': 1, 'chrX': 2}	{'00-10%': 3, '10-20%': 3, '20-30%': 5, '30-40%': 5, '40-50%': 5, '50-60%': 10, '60-70%': 6, '70-80%': 9, '80-90%': 26, '90-100%': 14}	{'Lines of input read': 32, 'Variants processed': 32, 'Variants filtered out': 0, 'Overlapped genes': 52, 'Overlapped transcripts': 421}
14M-ensemble-annotated	{'insertion': 2, 'deletion': 9, 'SNV': 20}	{'splice_acceptor_variant': 1, 'splice_donor_variant': 3, 'stop_gained': 7, 'frameshift_variant': 7, 'stop_lost': 3, 'inframe_insertion': 1, 'inframe_deletion': 1, 'missense_variant': 7, '3_prime_UTR_variant': 1}	{'splice_acceptor_variant': 2, 'splice_donor_variant': 9, 'stop_gained': 15, 'frameshift_variant': 41, 'stop_lost': 3, 'inframe_insertion': 9, 'inframe_deletion': 1, 'missense_variant': 35, 'splice_region_variant': 53, 'splice_polypyrimidine_tract_variant': 2, 'synonymous_variant': 5, '5_prime_UTR_variant': 3, '3_prime_UTR_variant': 17, 'non_coding_transcript_exon_variant': 41, 'intron_variant': 117, 'NMD_transcript_variant': 91, 'non_coding_transcript_variant': 29, 'upstream_gene_variant': 28, 'downstream_gene_variant': 56}	{'stop_gained': 15, 'frameshift_variant': 41, 'stop_lost': 3, 'inframe_insertion': 9, 'inframe_deletion': 1, 'missense_variant': 35, 'synonymous_variant': 5}	{'chr1': 3, 'chr2': 1, 'chr3': 2, 'chr6': 3, 'chr7': 1, 'chr8': 1, 'chr9': 2, 'chr12': 3, 'chr13': 1, 'chr14': 1, 'chr15': 3, 'chr16': 1, 'chr17': 2, 'chr18': 1, 'chr19': 1, 'chr20': 1, 'chr21': 2, 'chr22': 1, 'chrX': 1}	{'00-10%': 5, '10-20%': 9, '20-30%': 9, '30-40%': 13, '40-50%': 10, '50-60%': 8, '60-70%': 13, '70-80%': 5, '80-90%': 27, '90-100%': 10}	{'Lines of input read': 31, 'Variants processed': 31, 'Variants filtered out': 0, 'Overlapped genes': 47, 'Overlapped transcripts': 368}
14T-ensemble-annotated	{'deletion': 5, 'SNV': 19}	{'splice_acceptor_variant': 1, 'splice_donor_variant': 4, 'stop_gained': 10, 'frameshift_variant': 2, 'stop_lost': 1, 'inframe_deletion': 2, 'missense_variant': 3, 'non_coding_transcript_exon_variant': 1}	{'splice_acceptor_variant': 2, 'splice_donor_variant': 53, 'stop_gained': 26, 'frameshift_variant': 15, 'stop_lost': 4, 'inframe_deletion': 2, 'missense_variant': 6, 'splice_region_variant': 14, 'splice_polypyrimidine_tract_variant': 2, '5_prime_UTR_variant': 3, '3_prime_UTR_variant': 8, 'non_coding_transcript_exon_variant': 14, 'intron_variant': 70, 'NMD_transcript_variant': 57, 'non_coding_transcript_variant': 37, 'upstream_gene_variant': 30, 'downstream_gene_variant': 25}	{'stop_gained': 26, 'frameshift_variant': 15, 'stop_lost': 4, 'inframe_deletion': 2, 'missense_variant': 6}	{'chr1': 2, 'chr3': 1, 'chr5': 2, 'chr7': 1, 'chr8': 2, 'chr10': 3, 'chr12': 5, 'chr15': 1, 'chr17': 3, 'chr19': 2, 'chr20': 1, 'chr22': 1}	{'00-10%': 0, '10-20%': 3, '20-30%': 3, '30-40%': 12, '40-50%': 5, '50-60%': 3, '60-70%': 11, '70-80%': 3, '80-90%': 6, '90-100%': 7}	{'Lines of input read': 24, 'Variants processed': 24, 'Variants filtered out': 0, 'Overlapped genes': 33, 'Overlapped transcripts': 238}
17M-ensemble-annotated	{'deletion': 8, 'SNV': 10}	{'splice_acceptor_variant': 2, 'splice_donor_variant': 1, 'stop_gained': 2, 'frameshift_variant': 8, 'missense_variant': 5}	{'splice_acceptor_variant': 21, 'splice_donor_variant': 3, 'stop_gained': 2, 'frameshift_variant': 28, 'missense_variant': 11, 'splice_region_variant': 10, 'splice_polypyrimidine_tract_variant': 4, '3_prime_UTR_variant': 9, 'non_coding_transcript_exon_variant': 9, 'intron_variant': 67, 'NMD_transcript_variant': 33, 'non_coding_transcript_variant': 15, 'upstream_gene_variant': 11, 'downstream_gene_variant': 23}	{'stop_gained': 2, 'frameshift_variant': 28, 'missense_variant': 11}	{'chr1': 2, 'chr2': 2, 'chr5': 2, 'chr6': 5, 'chr7': 1, 'chr10': 1, 'chr11': 2, 'chr12': 1, 'chr18': 1, 'chrX': 1}	{'00-10%': 5, '10-20%': 5, '20-30%': 1, '30-40%': 7, '40-50%': 3, '50-60%': 5, '60-70%': 3, '70-80%': 6, '80-90%': 4, '90-100%': 2}	{'Lines of input read': 18, 'Variants processed': 18, 'Variants filtered out': 0, 'Overlapped genes': 36, 'Overlapped transcripts': 184}
17T-ensemble-annotated	{'insertion': 1, 'deletion': 2, 'SNV': 7}	{'splice_acceptor_variant': 1, 'splice_donor_variant': 2, 'stop_gained': 1, 'frameshift_variant': 3, 'missense_variant': 3}	{'splice_acceptor_variant': 1, 'splice_donor_variant': 7, 'stop_gained': 2, 'frameshift_variant': 13, 'missense_variant': 6, 'splice_region_variant': 6, '3_prime_UTR_variant': 4, 'non_coding_transcript_exon_variant': 4, 'intron_variant': 4, 'NMD_transcript_variant': 9, 'non_coding_transcript_variant': 1, 'upstream_gene_variant': 1, 'downstream_gene_variant': 7}	{'stop_gained': 2, 'frameshift_variant': 13, 'missense_variant': 6}	{'chr2': 1, 'chr6': 2, 'chr7': 1, 'chr8': 1, 'chr9': 1, 'chr10': 1, 'chr11': 1, 'chr12': 1, 'chr13': 1}	{'00-10%': 3, '10-20%': 2, '20-30%': 1, '30-40%': 5, '40-50%': 2, '50-60%': 3, '60-70%': 0, '70-80%': 1, '80-90%': 2, '90-100%': 2}	{'Lines of input read': 10, 'Variants processed': 10, 'Variants filtered out': 0, 'Overlapped genes': 10, 'Overlapped transcripts': 49}
18M-ensemble-annotated	{'deletion': 10, 'SNV': 26}	{'splice_acceptor_variant': 4, 'splice_donor_variant': 4, 'stop_gained': 12, 'frameshift_variant': 7, 'stop_lost': 1, 'start_lost': 1, 'inframe_deletion': 3, 'missense_variant': 4}	{'splice_acceptor_variant': 25, 'splice_donor_variant': 41, 'stop_gained': 66, 'frameshift_variant': 24, 'stop_lost': 3, 'start_lost': 6, 'inframe_deletion': 8, 'missense_variant': 15, 'splice_region_variant': 25, 'splice_polypyrimidine_tract_variant': 10, 'synonymous_variant': 2, 'coding_sequence_variant': 1, '3_prime_UTR_variant': 20, 'non_coding_transcript_exon_variant': 43, 'intron_variant': 56, 'NMD_transcript_variant': 31, 'non_coding_transcript_variant': 62, 'upstream_gene_variant': 85, 'downstream_gene_variant': 69}	{'stop_gained': 66, 'frameshift_variant': 24, 'stop_lost': 3, 'start_lost': 6, 'inframe_deletion': 8, 'missense_variant': 15, 'synonymous_variant': 2, 'coding_sequence_variant': 1}	{'chr2': 1, 'chr3': 1, 'chr4': 1, 'chr5': 1, 'chr6': 1, 'chr7': 1, 'chr9': 3, 'chr10': 2, 'chr11': 2, 'chr12': 2, 'chr14': 3, 'chr16': 5, 'chr17': 5, 'chr18': 1, 'chr19': 2, 'chr22': 1, 'chrX': 4}	{'00-10%': 9, '10-20%': 6, '20-30%': 5, '30-40%': 10, '40-50%': 5, '50-60%': 7, '60-70%': 16, '70-80%': 34, '80-90%': 11, '90-100%': 17}	{'Lines of input read': 36, 'Variants processed': 36, 'Variants filtered out': 0, 'Overlapped genes': 57, 'Overlapped transcripts': 446}
18T-ensemble-annotated	{'deletion': 2, 'SNV': 12}	{'splice_acceptor_variant': 3, 'splice_donor_variant': 1, 'stop_gained': 5, 'frameshift_variant': 1, 'stop_lost': 1, 'inframe_deletion': 1, 'missense_variant': 2}	{'splice_acceptor_variant': 18, 'splice_donor_variant': 1, 'stop_gained': 19, 'frameshift_variant': 5, 'stop_lost': 3, 'inframe_deletion': 1, 'missense_variant': 4, 'splice_region_variant': 4, 'coding_sequence_variant': 1, '3_prime_UTR_variant': 14, 'non_coding_transcript_exon_variant': 13, 'intron_variant': 14, 'NMD_transcript_variant': 15, 'non_coding_transcript_variant': 17, 'upstream_gene_variant': 34, 'downstream_gene_variant': 36}	{'stop_gained': 19, 'frameshift_variant': 5, 'stop_lost': 3, 'inframe_deletion': 1, 'missense_variant': 4, 'coding_sequence_variant': 1}	{'chr3': 1, 'chr8': 1, 'chr10': 1, 'chr12': 1, 'chr14': 3, 'chr15': 2, 'chr16': 1, 'chr17': 3, 'chr18': 1}	{'00-10%': 4, '10-20%': 1, '20-30%': 5, '30-40%': 1, '40-50%': 0, '50-60%': 1, '60-70%': 2, '70-80%': 3, '80-90%': 8, '90-100%': 8}	{'Lines of input read': 14, 'Variants processed': 14, 'Variants filtered out': 0, 'Overlapped genes': 20, 'Overlapped transcripts': 161}
26M-ensemble-annotated	{'insertion': 1, 'deletion': 9, 'SNV': 17}	{'splice_acceptor_variant': 1, 'splice_donor_variant': 3, 'stop_gained': 7, 'frameshift_variant': 5, 'stop_lost': 3, 'inframe_deletion': 4, 'missense_variant': 4}	{'splice_acceptor_variant': 5, 'splice_donor_variant': 34, 'stop_gained': 13, 'frameshift_variant': 9, 'stop_lost': 3, 'inframe_deletion': 13, 'missense_variant': 11, 'splice_region_variant': 14, 'coding_sequence_variant': 11, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 13, 'non_coding_transcript_exon_variant': 28, 'intron_variant': 64, 'NMD_transcript_variant': 31, 'non_coding_transcript_variant': 12, 'upstream_gene_variant': 45, 'downstream_gene_variant': 54}	{'stop_gained': 13, 'frameshift_variant': 9, 'stop_lost': 3, 'inframe_deletion': 13, 'missense_variant': 11, 'coding_sequence_variant': 11}	{'chr1': 3, 'chr2': 1, 'chr3': 1, 'chr6': 1, 'chr7': 2, 'chr8': 1, 'chr9': 4, 'chr11': 6, 'chr15': 1, 'chr17': 1, 'chr18': 1, 'chr19': 5}	{'00-10%': 7, '10-20%': 2, '20-30%': 2, '30-40%': 4, '40-50%': 8, '50-60%': 9, '60-70%': 6, '70-80%': 10, '80-90%': 3, '90-100%': 9}	{'Lines of input read': 27, 'Variants processed': 27, 'Variants filtered out': 0, 'Overlapped genes': 45, 'Overlapped transcripts': 275}
26T-ensemble-annotated	{'insertion': 1, 'deletion': 2, 'SNV': 10}	{'splice_donor_variant': 3, 'stop_gained': 3, 'frameshift_variant': 1, 'stop_lost': 1, 'inframe_insertion': 1, 'inframe_deletion': 1, 'missense_variant': 2, 'splice_region_variant': 1}	{'splice_donor_variant': 8, 'stop_gained': 20, 'frameshift_variant': 2, 'stop_lost': 1, 'inframe_insertion': 6, 'inframe_deletion': 4, 'missense_variant': 6, 'splice_region_variant': 17, 'splice_polypyrimidine_tract_variant': 2, 'synonymous_variant': 4, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 6, 'non_coding_transcript_exon_variant': 20, 'intron_variant': 34, 'NMD_transcript_variant': 25, 'non_coding_transcript_variant': 9, 'upstream_gene_variant': 15, 'downstream_gene_variant': 37}	{'stop_gained': 20, 'frameshift_variant': 2, 'stop_lost': 1, 'inframe_insertion': 6, 'inframe_deletion': 4, 'missense_variant': 6, 'synonymous_variant': 4}	{'chr1': 2, 'chr4': 1, 'chr8': 1, 'chr11': 2, 'chr14': 1, 'chr15': 1, 'chr17': 2, 'chr19': 3}	{'00-10%': 0, '10-20%': 5, '20-30%': 8, '30-40%': 4, '40-50%': 3, '50-60%': 5, '60-70%': 2, '70-80%': 8, '80-90%': 1, '90-100%': 7}	{'Lines of input read': 13, 'Variants processed': 13, 'Variants filtered out': 0, 'Overlapped genes': 21, 'Overlapped transcripts': 164}
